stage,rider,rider_url,km_first_group,km_before_peloton
13,PARRA José Félix,https://www.procyclingstats.com/rider/jose-felix-parra,54.0,116.0
13,VAN MECHELEN Vlad,https://www.procyclingstats.com/rider/vlad-van-mechelen,54.0,116.0
13,DELBOVE Joris,https://www.procyclingstats.com/rider/joris-delbove,54.0,116.0
13,VERCHER Mattéo,https://www.procyclingstats.com/rider/matheo-vercher,54.0,116.0
13,DHONDT Robbe,https://www.procyclingstats.com/rider/robbe-dhondt,54.0,115.0
13,CORT Magnus,https://www.procyclingstats.com/rider/magnus-cort-nielsen,54.0,113.0
13,ABRAHAMSEN Jonas,https://www.procyclingstats.com/rider/jonas-abrahamsen,53.0,118.0
13,GIRMAY Biniam,https://www.procyclingstats.com/rider/biniam-girmay,53.0,116.0
13,PEDERSEN Mads,https://www.procyclingstats.com/rider/mads-pedersen,53.0,115.0
13,BALLERINI Davide,https://www.procyclingstats.com/rider/davide-ballerini,43.0,114.0
13,TARLING Joshua,https://www.procyclingstats.com/rider/joshua-tarling,43.0,111.0
13,OLDANI Stefano,https://www.procyclingstats.com/rider/stefano-oldani,41.0,113.0
13,VAN ASBROECK Tom,https://www.procyclingstats.com/rider/tom-van-asbroeck,39.0,111.0
13,KWIATKOWSKI Michał,https://www.procyclingstats.com/rider/michal-kwiatkowski,28.0,82.0
13,ZIMMERMANN Georg,https://www.procyclingstats.com/rider/georg-zimmermann,25.0,25.0
13,VERVAEKE Louis,https://www.procyclingstats.com/rider/louis-vervaeke,25.0,25.0
13,KIRSCH Alex,https://www.procyclingstats.com/rider/alex-kirsch,25.0,25.0
14,CARAPAZ Richard,https://www.procyclingstats.com/rider/richard-carapaz,128.0,132.0
14,PARET-PEINTRE Valentin,https://www.procyclingstats.com/rider/valentin-paret-peintre,118.0,126.0
14,JOHANNESSEN Tobias Halland,https://www.procyclingstats.com/rider/tobias-halland-johannessen,115.0,132.0
14,JOHANNESSEN Anders Halland,https://www.procyclingstats.com/rider/anders-halland-johannessen,107.0,119.0
14,HEALY Ben,https://www.procyclingstats.com/rider/ben-healy,99.0,109.0
14,RUBIO Einer,https://www.procyclingstats.com/rider/einer-rubio,85.0,125.0
14,ARENSMAN Thymen,https://www.procyclingstats.com/rider/thymen-arensman,13.0,82.0
14,HIRSCHI Marc,https://www.procyclingstats.com/rider/marc-hirschi,13.0,80.0
14,TIBERI Antonio,https://www.procyclingstats.com/rider/antonio-tiberi,12.0,81.0
14,SIMMONS Quinn,https://www.procyclingstats.com/rider/quinn-simmons,11.0,81.0
14,BERNAL Egan,https://www.procyclingstats.com/rider/egan-bernal,11.0,80.0
14,CATTANEO Mattia,https://www.procyclingstats.com/rider/mattia-cattaneo,10.0,80.0
14,ARMIRAIL Bruno,https://www.procyclingstats.com/rider/bruno-armirail,10.0,80.0
14,FOSS Tobias,https://www.procyclingstats.com/rider/tobias-foss,10.0,80.0
14,PIDCOCK Tom,https://www.procyclingstats.com/rider/tom-pidcock,10.0,79.0
14,CASTRILLO Pablo,https://www.procyclingstats.com/rider/pablo-castrillo-zapater,10.0,39.0
14,BAUDIN Alex,https://www.procyclingstats.com/rider/alex-baudin,10.0,27.0
14,JORGENSON Matteo,https://www.procyclingstats.com/rider/matteo-jorgenson,9.0,79.0
14,PARET-PEINTRE Aurélien,https://www.procyclingstats.com/rider/aurelien-paret-peintre,9.0,79.0
14,VAN EETVELT Lennert,https://www.procyclingstats.com/rider/lennert-van-eetvelt,9.0,75.0
14,GARCÍA PIERNA Raúl,https://www.procyclingstats.com/rider/raul-garcia-pierna,9.0,67.0
14,STEINHAUSER Georg,https://www.procyclingstats.com/rider/georg-steinhauser,9.0,67.0
14,CAMPENAERTS Victor,https://www.procyclingstats.com/rider/victor-campenaerts,9.0,46.0
14,DELETTRE Alexandre,https://www.procyclingstats.com/rider/alexandre-delettre,9.0,14.0
14,POGAČAR Tadej,https://www.procyclingstats.com/rider/tadej-pogacar,9.0,8.0
14,CRAPS Lars,https://www.procyclingstats.com/rider/lars-craps,7.0,65.0
14,ENGELHARDT Felix,https://www.procyclingstats.com/rider/felix-engelhardt,7.0,51.0
14,PARRA José Félix,https://www.procyclingstats.com/rider/jose-felix-parra,7.0,13.0
14,TRATNIK Jan,https://www.procyclingstats.com/rider/jan-tratnik,7.0,13.0
14,SKAARSETH Anders,https://www.procyclingstats.com/rider/anders-skaarseth,7.0,13.0
14,STORER Michael,https://www.procyclingstats.com/rider/michael-storer,6.0,76.0
14,ROMO Javier,https://www.procyclingstats.com/rider/javier-romo,6.0,12.0
14,BERWICK Sebastian,https://www.procyclingstats.com/rider/sebastian-berwick,5.0,61.0
14,VAUQUELIN Kévin,https://www.procyclingstats.com/rider/kevin-vauquelin,5.0,56.0
14,HOWSON Damien,https://www.procyclingstats.com/rider/damien-howson,5.0,48.0
14,MARTIN Guillaume,https://www.procyclingstats.com/rider/guillaume-martin,4.0,9.0
14,VELASCO Simone,https://www.procyclingstats.com/rider/simone-velasco,3.0,7.0
14,CEPEDA Jefferson Alveiro,https://www.procyclingstats.com/rider/jefferson-cepeda-hernandez,3.0,7.0
14,FRIGO Marco,https://www.procyclingstats.com/rider/marco-frigo,2.0,6.0
14,STANNARD Robert,https://www.procyclingstats.com/rider/robert-stannard,2.0,6.0
14,VINGEGAARD Jonas,https://www.procyclingstats.com/rider/jonas-vingegaard,1.0,6.0
14,SEIXAS Paul,https://www.procyclingstats.com/rider/paul-seixas,1.0,6.0
15,SCHMID Mauro,https://www.procyclingstats.com/rider/mauro-schmid,104.0,128.0
15,SIMMONS Quinn,https://www.procyclingstats.com/rider/quinn-simmons,74.0,107.0
15,GARCÍA PIERNA Raúl,https://www.procyclingstats.com/rider/raul-garcia-pierna,66.0,77.0
15,YATES Adam,https://www.procyclingstats.com/rider/adam-yates,64.0,108.0
15,VOISARD Yannis,https://www.procyclingstats.com/rider/yannis-voisard,64.0,108.0
15,PIDCOCK Tom,https://www.procyclingstats.com/rider/tom-pidcock,64.0,107.0
15,VAN DIJKE Tim,https://www.procyclingstats.com/rider/tim-van-dijke,64.0,77.0
15,RUBIO Einer,https://www.procyclingstats.com/rider/einer-rubio,63.0,106.0
