rider,rider_url,date_of_birth,birth_year,nationality,height_m,weight_kg,bmi,place_of_birth
Ben O'Connor,https://www.procyclingstats.com/rider/ben-o-connor,1995-11-25,1995,Australia,1.88,67.0,18.96,Subiaco
Kelland O'Brien,https://www.procyclingstats.com/rider/kelland-brien,1998-05-22,1998,Australia,1.92,77.0,20.89,Melbourne
Felix Engelhardt,https://www.procyclingstats.com/rider/felix-engelhardt,2000-08-19,2000,Germany,1.8,68.0,20.99,Ulm
Joris Delbove,https://www.procyclingstats.com/rider/joris-delbove,2000-07-15,2000,France,,,,Troyes
Mauro Schmid,https://www.procyclingstats.com/rider/mauro-schmid,1999-12-04,1999,Switzerland,1.87,70.0,20.02,Bülach
Kamil Gradek,https://www.procyclingstats.com/rider/kamil-gradek,1990-09-17,1990,Poland,1.94,83.0,22.05,Koziegłowy
Phil Bauhaus,https://www.procyclingstats.com/rider/phil-bauhaus,1994-07-08,1994,Germany,1.84,75.0,22.15,Bocholt
Aaron Gate,https://www.procyclingstats.com/rider/aaron-gate,1990-11-26,1990,New Zealand,1.81,71.0,21.67,Auckland
Mike Teunissen,https://www.procyclingstats.com/rider/mike-teunissen,1992-08-25,1992,Netherlands,1.84,73.0,21.56,Ysselsteyn
Davide Ballerini,https://www.procyclingstats.com/rider/davide-ballerini,1994-09-21,1994,Italy,1.83,71.0,21.2,Cantù
Bert Van Lerberghe,https://www.procyclingstats.com/rider/bert-van-lerberghe,1992-09-29,1992,Belgium,1.9,83.0,22.99,Kortrijk
Tim Merlier,https://www.procyclingstats.com/rider/tim-merlier,1992-10-30,1992,Belgium,1.88,76.0,21.5,Wortegem-Petegem
Pascal Ackermann,https://www.procyclingstats.com/rider/pascal-ackermann,1994-01-17,1994,Germany,1.8,78.0,24.07,Kandel
Luke Durbridge,https://www.procyclingstats.com/rider/luke-durbridge,1991-04-09,1991,Australia,1.87,78.0,22.31,Greenmount
Thibault Guernalec,https://www.procyclingstats.com/rider/thibault-guernalec,1997-07-31,1997,France,1.85,71.0,20.75,Châteaulin
Nicolas Vinokurov,https://www.procyclingstats.com/rider/nicolas-vinokurov,2002-07-07,2002,Kazakhstan,1.84,69.0,20.38,Nice
Matteo Trentin,https://www.procyclingstats.com/rider/matteo-trentin,1989-08-02,1989,Italy,1.79,74.0,23.1,Borgo Valsugana
Marco Haller,https://www.procyclingstats.com/rider/marco-haller,1991-04-01,1991,Austria,1.78,72.0,22.72,Sankt Veit an der Glan
Jasper Philipsen,https://www.procyclingstats.com/rider/jasper-philipsen,1998-03-02,1998,Belgium,1.76,75.0,24.21,Mol
Silvan Dillier,https://www.procyclingstats.com/rider/silvan-dillier,1990-08-03,1990,Switzerland,1.83,75.0,22.4,Aarau
Jonas Rickaert,https://www.procyclingstats.com/rider/jonas-rickaert,1994-02-07,1994,Belgium,1.9,88.0,24.38,Sint-Eloois-Vijve
Michael Valgren,https://www.procyclingstats.com/rider/michael-valgren-andersen,1992-02-07,1992,Denmark,1.79,71.0,22.16,Østerild
Nico Denz,https://www.procyclingstats.com/rider/nico-denz,1994-02-15,1994,Germany,1.83,71.0,21.2,Waldshut-Tiengen
Tim van Dijke,https://www.procyclingstats.com/rider/tim-van-dijke,2000-03-15,2000,Netherlands,1.89,74.0,20.72,Goes
Piet Allegaert,https://www.procyclingstats.com/rider/piet-allegaert,1995-01-20,1995,Belgium,1.81,70.0,21.37,Moorslede
Simone Velasco,https://www.procyclingstats.com/rider/simone-velasco,1995-12-02,1995,Italy,1.7,59.0,20.42,Bologna
