stage,rank,status,gc_position,gc_timelag_seconds,bib,specialty,age,nationality_code,rider,rider_url,team,uci_points,pcs_points,time_raw,stage_gap_seconds,elapsed_seconds
7,149,finished,122,3047,143,Climber,24,ES,Castrillo Pablo,https://www.procyclingstats.com/rider/pablo-castrillo-zapater,Movistar Team,,,",,",853,15592
7,150,finished,120,2976,142,TT,29,US,Barta Will,https://www.procyclingstats.com/rider/william-barta,Movistar Team,,,",,",853,15592
7,151,finished,113,2860,117,Climber,28,AU,Storer Michael,https://www.procyclingstats.com/rider/michael-storer,Tudor Pro Cycling Team,,,",,",853,15592
7,152,finished,74,1925,63,TT,28,NO,Foss Tobias,https://www.procyclingstats.com/rider/tobias-foss,INEOS Grenadiers,,,14:29,869,15608
7,153,finished,177,4655,175,Classic,25,KZ,Fedorov Yevgeniy,https://www.procyclingstats.com/rider/yevgeniy-fedorov,XDS Astana Team,,,",,",869,15608
7,154,finished,126,3126,55,Climber,22,FR,Martinez Lenny,https://www.procyclingstats.com/rider/lenny-martinez,Bahrain - Victorious,,,14:38,878,15617
7,155,finished,160,4124,76,Classic,25,NL,van Dijke Mick,https://www.procyclingstats.com/rider/mick-van-dijke,Red Bull - BORA - hansgrohe,,,14:39,879,15618
7,156,finished,145,3882,193,Sprint,22,CZ,Bittner Pavel,https://www.procyclingstats.com/rider/pavel-bittner,Team Picnic PostNL,,,14:42,882,15621
7,157,finished,158,4072,43,Classic,24,BE,Braet Vito,https://www.procyclingstats.com/rider/vito-braet,Intermarché - Wanty,,,",,",882,15621
7,158,finished,134,3590,197,GC,26,NL,Naberman Tim,https://www.procyclingstats.com/rider/tim-naberman,Team Picnic PostNL,,,14:56,896,15635
7,159,finished,69,1806,195,Classic,22,DK,Andresen Tobias Lund,https://www.procyclingstats.com/rider/tobias-lund-andresen,Team Picnic PostNL,,,",,",896,15635
7,160,finished,164,4212,173,Sprint,29,NL,Bol Cees,https://www.procyclingstats.com/rider/cees-bol,XDS Astana Team,,,",,",896,15635
